qty_url_alphanumeric,url_length,qty_domain_alphanumeric,qty_vowels_domain,domain_length,qty_directory_alphanumeric,directory_length,qty_file_alphanumeric,file_length,qty_params_alphanumeric,params_length,qty_params,email_in_url,url_shortened,phishing
5,33,4,10,33,0,0,0,0,0,0,0,0,0,0
3,25,1,9,24,1,1,0,0,0,0,0,0,0,0
3,9,2,1,9,0,0,0,0,0,0,0,0,0,0
6,34,2,7,20,3,14,1,7,0,0,0,0,0,0
5,21,4,6,21,0,0,0,0,0,0,0,0,0,0
8,50,1,4,9,6,41,1,16,0,0,0,0,0,1
6,42,3,4,27,2,15,1,14,0,0,0,0,0,1
19,90,3,6,22,15,68,0,0,0,0,0,0,0,0
9,62,2,5,22,6,40,2,16,0,0,0,0,0,1
7,80,1,6,20,5,60,0,0,0,0,0,0,0,1
11,64,3,6,20,7,44,1,8,0,0,0,0,0,1
7,40,2,9,18,4,22,0,0,0,0,0,0,0,0
12,94,2,5,16,9,78,0,15,0,0,0,0,0,0
2,16,1,5,16,0,0,0,0,0,0,0,0,0,0
7,35,1,1,7,5,28,3,16,0,0,0,0,0,1
3,12,2,1,12,0,0,0,0,0,0,0,0,0,0
3,10,1,1,4,1,6,0,5,0,0,0,0,1,1
8,39,3,3,19,4,20,1,8,0,0,0,0,0,1
7,49,2,6,25,4,24,1,9,0,0,0,0,0,1
5,22,3,7,21,1,1,0,0,0,0,0,0,0,1
9,30,3,0,12,3,13,1,9,1,5,1,0,0,1
9,58,2,4,19,6,39,2,25,0,0,0,0,0,1
3,14,2,2,14,0,0,0,0,0,0,0,0,0,0
3,51,1,7,18,1,1,0,0,0,32,0,0,0,1
9,62,1,5,17,6,45,1,6,0,0,0,0,0,1
3,14,1,3,7,1,7,0,6,0,0,0,0,0,1
5,49,4,15,49,0,0,0,0,0,0,0,0,0,1
2,10,1,3,10,0,0,0,0,0,0,0,0,0,0
33,271,1,3,10,18,169,1,9,13,92,5,0,0,1
3,12,1,3,11,1,1,0,0,0,0,0,0,0,0
8,59,1,7,19,2,10,1,9,3,30,1,0,0,1
4,17,3,3,17,0,0,0,0,0,0,0,0,0,0
3,17,2,7,17,0,0,0,0,0,0,0,0,0,0
5,57,1,4,12,3,45,0,32,0,0,0,0,0,1
4,19,2,4,18,1,1,0,0,0,0,0,0,0,0
6,30,2,4,14,3,16,0,3,0,0,0,0,0,1
4,19,2,6,18,1,1,0,0,0,0,0,0,0,0
3,17,2,4,17,0,0,0,0,0,0,0,0,0,1
4,26,1,3,11,2,15,1,14,0,0,0,0,0,0
7,59,2,8,32,4,27,1,16,0,0,0,0,0,1
8,38,4,9,25,3,13,2,12,0,0,0,0,0,1
2,14,1,6,14,0,0,0,0,0,0,0,0,0,0
4,24,3,9,24,0,0,0,0,0,0,0,0,0,0
9,85,1,5,17,7,68,1,7,0,0,0,0,0,1
3,14,2,5,14,0,0,0,0,0,0,0,0,0,0
8,50,1,3,13,6,37,0,0,0,0,0,0,0,1
9,59,1,2,9,2,8,0,5,5,42,2,0,0,1
6,48,2,7,26,3,22,0,8,0,0,0,0,0,0
13,68,1,5,15,2,7,1,6,8,46,1,0,0,1
13,221,1,3,12,5,52,1,9,6,157,3,0,0,1
3,11,1,3,10,1,1,0,0,0,0,0,0,0,0
5,29,2,5,16,2,13,1,12,0,0,0,0,0,0
6,45,2,6,16,3,29,0,0,0,0,0,0,0,1
10,79,1,6,22,6,41,1,9,2,16,1,0,0,1
4,26,2,10,25,1,1,0,0,0,0,0,0,0,1
7,64,1,4,14,5,50,1,10,0,0,0,0,0,1
9,42,3,3,14,5,28,1,11,0,0,0,0,0,0
9,45,3,6,17,5,28,1,9,0,0,0,0,0,1
3,17,1,4,11,1,6,0,5,0,0,0,0,0,1
16,159,4,12,33,5,103,1,9,6,23,2,0,0,1
7,43,2,5,15,4,28,2,25,0,0,0,0,0,0
7,43,2,4,15,4,28,0,0,0,0,0,0,0,1
6,39,1,6,20,4,19,0,0,0,0,0,0,0,1
4,24,2,8,23,1,1,0,0,0,0,0,0,0,1
6,41,2,6,16,3,25,0,0,0,0,0,0,0,1
3,26,2,9,26,0,0,0,0,0,0,0,0,0,0
13,57,3,5,18,8,39,0,0,0,0,0,0,0,1
8,43,2,5,15,5,28,1,9,0,0,0,0,0,1
9,50,1,0,7,6,34,4,30,1,9,0,0,0,1
6,23,3,3,14,2,9,0,5,0,0,0,0,0,0
5,25,4,9,25,0,0,0,0,0,0,0,0,0,1
6,34,2,3,14,2,17,1,16,1,3,1,0,0,0
6,30,2,2,13,3,17,1,8,0,0,0,0,0,0
6,25,4,5,24,1,1,0,0,0,0,0,0,0,0
7,31,1,5,13,5,18,0,0,0,0,0,0,0,1
13,63,0,0,6,12,57,4,23,0,0,0,0,0,0
7,41,2,7,16,4,25,2,19,0,0,0,0,0,0
3,17,2,6,17,0,0,0,0,0,0,0,0,0,0
3,16,2,3,16,0,0,0,0,0,0,0,0,0,0
4,13,2,3,12,1,1,0,0,0,0,0,0,0,0
2,12,1,3,12,0,0,0,0,0,0,0,0,0,0
4,36,2,12,31,1,5,0,4,0,0,0,0,0,0
6,46,2,9,28,3,18,0,2,0,0,0,0,0,0
4,39,2,9,33,1,6,0,5,0,0,0,0,0,1
7,78,2,5,23,3,13,0,3,1,42,1,0,0,1
5,28,2,5,16,2,12,0,0,0,0,0,0,0,0
3,13,2,4,13,0,0,0,0,0,0,0,0,0,0
4,36,1,9,19,2,17,0,0,0,0,0,0,0,1
4,24,3,8,24,0,0,0,0,0,0,0,0,0,1
7,49,2,7,19,4,30,1,19,0,0,0,0,0,1
6,46,2,9,28,3,18,0,2,0,0,0,0,0,0
3,19,2,5,19,0,0,0,0,0,0,0,0,0,0
10,65,1,3,10,8,55,7,54,0,0,0,0,0,1
17,93,1,5,15,15,78,0,0,0,0,0,0,0,1
4,13,2,2,7,1,6,0,5,0,0,0,0,0,1
7,55,3,10,36,3,19,2,18,0,0,0,0,0,1
3,18,2,7,18,0,0,0,0,0,0,0,0,0,0
6,37,4,12,36,1,1,0,0,0,0,0,0,0,1
4,26,2,9,25,1,1,0,0,0,0,0,0,0,0
4,26,1,5,20,2,6,0,0,0,0,0,0,0,1
5,20,3,2,13,1,7,0,6,0,0,0,0,0,0
3,13,2,4,13,0,0,0,0,0,0,0,0,0,0
4,36,2,13,35,1,1,0,0,0,0,0,0,0,1
3,13,2,2,13,0,0,0,0,0,0,0,0,0,0
7,74,3,0,13,4,61,1,10,0,0,0,0,0,1
3,23,2,7,23,0,0,0,0,0,0,0,0,0,0
2,14,1,5,14,0,0,0,0,0,0,0,0,0,0
7,51,1,9,22,5,29,1,10,0,0,0,0,0,1
12,70,3,4,17,8,53,4,30,0,0,0,0,0,0
3,24,2,8,24,0,0,0,0,0,0,0,0,0,0
3,14,2,5,14,0,0,0,0,0,0,0,0,0,0
6,31,1,2,9,4,22,0,0,0,0,0,0,0,1
3,21,1,9,20,1,1,0,0,0,0,0,0,0,1
4,16,2,4,15,1,1,0,0,0,0,0,0,0,0
12,89,2,4,16,9,73,1,9,0,0,0,0,0,1
10,56,1,3,12,3,20,0,0,4,24,1,1,0,1
2,23,1,9,23,0,0,0,0,0,0,0,0,0,0
14,68,2,5,16,11,52,0,0,0,0,0,0,0,1
3,23,2,8,23,0,0,0,0,0,0,0,0,0,0
7,38,1,6,16,5,22,1,9,0,0,0,0,0,1
5,33,1,5,20,3,13,0,0,0,0,0,0,0,1
6,37,2,6,16,3,21,0,0,0,0,0,0,0,1
5,30,3,7,29,1,1,0,0,0,0,0,0,0,0
3,17,2,5,17,0,0,0,0,0,0,0,0,0,0
8,41,1,4,14,6,27,0,0,0,0,0,0,0,1
8,40,3,6,19,4,21,1,10,0,0,0,0,0,0
2,14,1,6,14,0,0,0,0,0,0,0,0,0,0
5,45,1,13,34,3,11,0,0,0,0,0,0,0,1
11,76,2,2,14,8,62,0,8,0,0,0,0,0,1
14,94,3,6,20,10,74,8,70,0,0,0,0,0,1
3,23,2,8,23,0,0,0,0,0,0,0,0,0,0
5,29,2,6,21,2,8,0,0,0,0,0,0,0,1
5,26,1,5,11,3,15,1,9,0,0,0,0,0,1
13,79,2,8,22,6,34,1,9,3,23,1,1,0,1
3,13,1,1,6,1,7,0,6,0,0,0,0,1,1
4,18,3,2,18,0,0,0,0,0,0,0,0,0,0
3,18,2,7,18,0,0,0,0,0,0,0,0,0,0
6,34,2,4,16,3,18,1,9,0,0,0,0,0,1
9,62,1,8,22,7,40,0,0,0,0,0,0,0,1
12,229,1,4,13,4,51,1,9,6,165,3,0,0,1
5,15,3,1,14,1,1,0,0,0,0,0,0,0,0
12,70,2,3,11,9,59,2,27,0,0,0,0,0,1
12,70,1,5,14,10,56,0,0,0,0,0,0,0,1
11,78,3,6,22,7,56,0,0,0,0,0,0,0,1
5,30,3,8,29,1,1,0,0,0,0,0,0,0,0
17,111,3,3,16,3,13,1,8,10,82,1,0,0,1
5,90,1,5,16,2,9,1,8,1,65,1,0,0,1
13,79,2,8,22,6,34,1,9,3,23,1,1,0,1
5,14,3,2,13,1,1,0,0,0,0,0,0,0,0
4,31,2,13,30,1,1,0,0,0,0,0,0,0,1
6,29,4,7,28,1,1,0,0,0,0,0,0,0,0
8,67,1,7,22,6,45,1,9,0,0,0,0,0,1
7,43,2,5,25,4,18,0,0,0,0,0,0,0,1
25,147,2,5,15,4,17,1,6,17,115,7,1,0,1
5,71,2,12,30,2,41,0,0,0,0,0,0,0,1
5,34,3,10,33,1,1,0,0,0,0,0,0,0,1
3,16,2,4,16,0,0,0,0,0,0,0,0,0,0
6,29,2,6,18,3,11,0,0,0,0,0,0,0,0
6,64,1,4,13,4,51,1,9,0,0,0,0,0,1
20,171,3,3,18,10,130,0,0,6,23,1,0,0,1
11,84,1,4,11,9,73,0,0,0,0,0,0,0,1
4,21,3,6,21,0,0,0,0,0,0,0,0,0,0
6,33,1,4,11,4,22,3,21,0,0,0,0,0,0
6,34,3,6,20,2,14,0,0,0,0,0,0,0,0
2,7,1,1,7,0,0,0,0,0,0,0,0,0,0
6,29,3,8,27,2,2,1,1,0,0,0,0,0,1
20,115,1,4,11,17,104,0,0,0,0,0,0,0,1
9,53,2,8,27,6,26,3,17,0,0,0,0,0,1
3,14,2,3,14,0,0,0,0,0,0,0,0,0,0
27,145,1,2,5,1,3,0,2,21,137,6,0,0,1
3,11,1,3,10,1,1,0,0,0,0,0,0,0,1
3,13,1,2,6,1,7,0,6,0,0,0,0,1,1
3,19,2,6,19,0,0,0,0,0,0,0,0,0,0
3,13,2,2,13,0,0,0,0,0,0,0,0,0,0
10,88,3,8,25,1,1,0,0,5,62,3,0,0,1
5,29,4,9,29,0,0,0,0,0,0,0,0,0,0
4,32,2,10,31,1,1,0,0,0,0,0,0,0,1
2,12,1,4,12,0,0,0,0,0,0,0,0,0,0
3,10,2,1,10,0,0,0,0,0,0,0,0,0,0
6,46,2,8,29,3,17,0,0,0,0,0,0,0,1
9,49,2,5,11,6,38,1,17,0,0,0,0,0,1
3,15,2,4,15,0,0,0,0,0,0,0,0,0,0
7,46,2,5,16,3,24,0,0,1,6,1,0,0,0
4,14,2,3,13,1,1,0,0,0,0,0,0,0,0
4,23,2,7,22,1,1,0,0,0,0,0,0,0,0
9,72,1,10,27,7,45,1,21,0,0,0,0,0,1
5,21,4,4,21,0,0,0,0,0,0,0,0,0,0
2,12,1,4,12,0,0,0,0,0,0,0,0,0,0
4,19,2,7,17,1,2,0,1,0,0,0,0,0,1
3,19,2,6,19,0,0,0,0,0,0,0,0,0,0
5,31,3,8,31,0,0,0,0,0,0,0,0,0,1
2,22,1,7,22,0,0,0,0,0,0,0,0,0,0
8,60,2,11,33,5,27,1,10,0,0,0,0,0,1
9,36,2,2,11,6,25,0,0,0,0,0,0,0,1
6,39,2,7,23,2,7,0,0,1,9,1,0,0,1
7,43,1,4,14,5,29,1,9,0,0,0,0,0,1
3,16,2,4,16,0,0,0,0,0,0,0,0,0,0
4,24,3,7,24,0,0,0,0,0,0,0,0,0,0
4,28,2,10,27,1,1,0,0,0,0,0,0,0,0
6,35,1,5,18,4,17,0,0,0,0,0,0,0,1
3,12,1,4,11,1,1,0,0,0,0,0,0,0,0
4,31,1,9,22,2,9,0,3,0,0,0,0,0,1
3,18,2,3,18,0,0,0,0,0,0,0,0,0,0
2,16,1,7,16,0,0,0,0,0,0,0,0,0,0
6,43,2,6,16,3,27,0,0,0,0,0,0,0,1
6,49,2,5,19,3,30,1,17,0,0,0,0,0,1
3,22,2,6,22,0,0,0,0,0,0,0,0,0,1
7,37,1,4,13,5,24,0,0,0,0,0,0,0,1
3,20,2,6,20,0,0,0,0,0,0,0,0,0,0
6,45,1,8,20,4,25,1,11,0,0,0,0,0,1
9,160,1,7,20,7,140,1,9,0,0,0,0,0,1
5,33,2,9,23,2,10,0,5,0,0,0,0,0,1
7,192,1,6,16,5,45,1,16,0,131,0,0,0,1
7,50,2,5,15,1,6,0,5,3,29,2,0,0,0
10,69,5,9,35,3,18,1,9,1,16,1,0,0,0
2,15,1,8,15,0,0,0,0,0,0,0,0,0,0
7,67,1,5,13,5,54,0,0,0,0,0,0,0,1
4,10,1,3,6,2,4,0,0,0,0,0,0,0,0
6,35,1,6,15,4,20,0,0,0,0,0,0,0,1
11,73,1,9,25,5,26,0,0,3,22,1,1,0,1
9,49,2,5,21,6,28,1,10,0,0,0,0,0,1
7,36,2,6,16,4,20,1,7,0,0,0,0,0,0
5,21,2,3,13,2,8,0,0,0,0,0,0,0,0
11,110,2,5,17,8,93,1,9,0,0,0,0,0,1
7,46,2,9,26,4,20,1,9,0,0,0,0,0,1
7,30,2,9,17,4,13,1,6,0,0,0,0,0,1
4,19,2,6,18,1,1,0,0,0,0,0,0,0,0
5,19,2,5,13,2,6,1,5,0,0,0,0,0,1
2,19,1,8,19,0,0,0,0,0,0,0,0,0,0
4,19,3,5,19,0,0,0,0,0,0,0,0,0,0
10,87,2,11,25,7,62,1,9,0,0,0,0,0,1
3,13,1,2,6,1,7,0,6,0,0,0,0,1,1
2,11,1,3,11,0,0,0,0,0,0,0,0,0,0
6,41,2,7,26,3,15,1,9,0,0,0,0,0,1
13,67,2,4,13,1,1,0,0,8,53,3,0,0,1
8,36,2,6,17,5,19,1,9,0,0,0,0,0,1
19,149,2,8,24,13,108,9,72,3,17,1,0,0,1
7,32,3,2,17,3,15,1,9,0,0,0,0,0,0
3,17,2,5,17,0,0,0,0,0,0,0,0,0,0
38,244,1,6,19,7,45,1,15,17,119,7,1,0,1
3,18,2,5,18,0,0,0,0,0,0,0,0,0,0
2,11,1,4,11,0,0,0,0,0,0,0,0,0,0
18,104,2,7,18,5,20,1,9,9,66,3,1,0,1
2,12,1,4,12,0,0,0,0,0,0,0,0,0,0
9,180,2,8,35,6,145,1,10,0,0,0,0,0,1
4,17,3,4,17,0,0,0,0,0,0,0,0,0,0
3,18,2,4,18,0,0,0,0,0,0,0,0,0,0
4,31,2,10,30,1,1,0,0,0,0,0,0,0,1
3,9,1,1,8,1,1,0,0,0,0,0,0,0,0
5,19,4,4,19,0,0,0,0,0,0,0,0,0,0
6,31,2,5,14,3,17,2,16,0,0,0,0,0,0
4,22,1,5,13,2,9,0,0,0,0,0,0,0,0
9,60,3,5,24,5,36,1,17,0,0,0,0,0,1
2,12,1,3,12,0,0,0,0,0,0,0,0,0,0
3,13,2,3,13,0,0,0,0,0,0,0,0,0,0
8,73,1,7,19,6,54,0,0,0,0,0,0,0,1
3,15,2,4,15,0,0,0,0,0,0,0,0,0,0
4,14,2,3,13,1,1,0,0,0,0,0,0,0,0
11,73,2,4,12,8,61,0,0,0,0,0,0,0,1
5,36,1,5,18,3,18,0,0,0,0,0,0,0,1
3,12,1,4,11,1,1,0,0,0,0,0,0,0,0
7,67,2,7,21,4,46,0,0,0,0,0,0,0,1
6,37,2,6,16,3,21,0,0,0,0,0,0,0,1
8,47,2,6,15,5,32,1,10,0,0,0,0,0,1
5,20,4,5,20,0,0,0,0,0,0,0,0,0,0
10,44,1,6,15,8,29,0,0,0,0,0,0,0,1
6,39,1,8,21,4,18,1,9,0,0,0,0,0,1
9,67,2,7,19,6,48,1,21,0,0,0,0,0,1
3,11,1,1,10,1,1,0,0,0,0,0,0,0,1
5,30,1,6,17,3,13,1,9,0,0,0,0,0,1
3,19,2,6,19,0,0,0,0,0,0,0,0,0,0
2,9,1,2,9,0,0,0,0,0,0,0,0,0,0
6,25,2,3,11,3,14,0,0,0,0,0,0,0,0
9,54,4,5,20,3,18,1,9,1,16,1,0,0,0
14,75,3,8,24,10,51,7,42,0,0,0,0,0,1
12,238,1,11,28,4,45,1,9,6,165,3,0,0,1
3,17,2,5,17,0,0,0,0,0,0,0,0,0,0
12,124,2,7,19,6,46,1,9,3,59,2,0,0,1
8,52,1,7,18,6,34,1,12,0,0,0,0,0,1
2,12,1,4,12,0,0,0,0,0,0,0,0,0,0
3,13,2,4,13,0,0,0,0,0,0,0,0,0,0
3,19,2,5,19,0,0,0,0,0,0,0,0,0,0
14,90,1,4,13,7,46,1,9,4,31,1,1,0,1
17,102,2,3,16,11,53,2,13,3,33,1,0,0,1
5,28,4,10,28,0,0,0,0,0,0,0,0,0,0
7,30,1,4,13,5,17,4,16,0,0,0,0,0,1
4,24,1,6,16,2,8,0,0,0,0,0,0,0,1
3,20,2,5,20,0,0,0,0,0,0,0,0,0,0
3,14,2,3,14,0,0,0,0,0,0,0,0,0,0
6,47,2,9,28,3,19,0,3,0,0,0,0,0,0
14,69,3,13,31,10,38,0,0,0,0,0,0,0,1
9,52,2,4,16,6,36,0,0,0,0,0,0,0,1
2,13,1,5,13,0,0,0,0,0,0,0,0,0,0
5,29,1,6,15,3,14,1,8,0,0,0,0,0,1
5,32,1,8,20,3,12,0,0,0,0,0,0,0,1
18,122,2,6,19,15,103,0,0,0,0,0,0,0,0
3,12,2,1,12,0,0,0,0,0,0,0,0,0,0
5,22,2,3,14,2,8,0,0,0,0,0,0,0,0
5,31,2,7,22,2,9,1,8,0,0,0,0,0,1
10,72,1,5,19,8,53,1,9,0,0,0,0,0,1
4,14,2,1,13,1,1,0,0,0,0,0,0,0,0
10,54,1,6,14,3,14,1,9,4,26,1,1,0,1
3,16,2,4,16,0,0,0,0,0,0,0,0,0,0
3,12,1,3,11,1,1,0,0,0,0,0,0,0,0
4,21,1,4,13,2,8,0,0,0,0,0,0,0,0
14,69,8,8,44,5,25,1,9,0,0,0,0,0,1
6,38,2,3,15,3,23,0,0,0,0,0,0,0,1
4,22,3,7,22,0,0,0,0,0,0,0,0,0,0
4,16,3,4,16,0,0,0,0,0,0,0,0,0,0
10,70,2,6,24,5,30,1,9,2,16,1,0,0,1
9,57,4,9,36,4,21,0,0,0,0,0,0,0,1
2,13,1,4,13,0,0,0,0,0,0,0,0,0,0
14,85,2,2,13,11,72,2,16,0,0,0,0,0,1
3,31,2,10,31,0,0,0,0,0,0,0,0,0,0
11,76,1,9,25,5,30,1,9,3,21,1,1,0,1
3,19,2,4,19,0,0,0,0,0,0,0,0,0,0
6,47,2,9,28,3,19,0,3,0,0,0,0,0,0
9,49,1,5,12,7,37,0,0,0,0,0,0,0,1
7,50,2,5,15,1,6,0,5,3,29,2,0,0,0
3,10,1,2,9,1,1,0,0,0,0,0,0,0,1
6,67,2,8,28,3,39,0,0,0,0,0,0,0,1
3,14,2,5,14,0,0,0,0,0,0,0,0,0,0
3,14,2,3,14,0,0,0,0,0,0,0,0,0,0
11,72,1,6,16,9,56,1,10,0,0,0,0,0,1
3,19,1,4,13,1,6,0,5,0,0,0,0,0,1
10,77,1,7,19,8,58,1,10,0,0,0,0,0,1
5,21,3,5,20,1,1,0,0,0,0,0,0,0,0
4,17,3,4,17,0,0,0,0,0,0,0,0,0,0
4,24,3,7,24,0,0,0,0,0,0,0,0,0,0
4,22,1,6,15,2,7,0,0,0,0,0,0,0,1
6,45,1,8,20,4,25,0,0,0,0,0,0,0,1
8,42,2,2,9,5,33,0,6,0,0,0,0,0,1
3,10,1,2,9,1,1,0,0,0,0,0,0,0,1
3,25,1,10,24,1,1,0,0,0,0,0,0,0,0
4,36,2,8,25,1,1,0,0,0,10,0,0,0,1
6,62,2,5,12,3,26,0,0,0,24,0,0,0,1
4,18,2,5,17,1,1,0,0,0,0,0,0,0,0
10,95,1,6,19,7,63,1,7,1,13,1,0,0,1
5,31,4,10,31,0,0,0,0,0,0,0,0,0,0
6,53,1,3,10,4,43,0,0,0,0,0,0,0,1
3,14,2,4,14,0,0,0,0,0,0,0,0,0,0
7,42,1,5,16,5,26,1,9,0,0,0,0,0,1
4,24,1,4,16,2,8,0,0,0,0,0,0,0,1
3,15,2,4,15,0,0,0,0,0,0,0,0,0,0
9,97,1,4,16,7,44,1,10,0,37,0,0,0,1
9,96,2,6,21,6,75,0,0,0,0,0,0,0,1
6,46,2,9,28,3,18,0,2,0,0,0,0,0,0
9,61,1,8,23,7,38,0,1,0,0,0,0,0,1
17,104,2,7,20,8,50,3,21,5,34,1,1,0,1
9,47,2,8,29,6,18,0,0,0,0,0,0,0,1
6,47,2,6,16,3,31,0,0,0,0,0,0,0,1
5,39,1,0,7,3,32,1,29,0,0,0,0,0,1
10,80,3,6,19,6,61,0,0,0,0,0,0,0,1
3,18,2,5,18,0,0,0,0,0,0,0,0,0,0
7,38,3,12,30,3,8,0,0,0,0,0,0,0,1
2,9,1,2,9,0,0,0,0,0,0,0,0,0,0
4,35,2,5,16,1,19,0,18,0,0,0,0,0,0
2,12,1,5,12,0,0,0,0,0,0,0,0,0,0
2,10,1,3,10,0,0,0,0,0,0,0,0,0,0
6,34,1,6,17,4,17,0,0,0,0,0,0,0,1
4,21,2,5,20,1,1,0,0,0,0,0,0,0,0
5,34,2,5,16,2,18,1,17,0,0,0,0,0,0
3,12,2,2,12,0,0,0,0,0,0,0,0,0,0
11,69,3,8,29,7,40,0,0,0,0,0,0,0,1
3,16,1,5,15,1,1,0,0,0,0,0,0,0,0
10,72,2,6,15,7,57,0,0,0,0,0,0,0,1
3,13,2,3,13,0,0,0,0,0,0,0,0,0,0
6,45,2,7,27,3,18,1,10,0,0,0,0,0,1
5,29,2,2,12,2,17,0,0,0,0,0,0,0,0
4,26,2,8,25,1,1,0,0,0,0,0,0,0,0
5,31,3,6,23,1,8,0,7,0,0,0,0,0,1
4,16,1,3,11,2,5,0,0,0,0,0,0,0,1
6,31,3,7,21,2,10,1,9,0,0,0,0,0,1
6,55,1,4,10,4,45,0,25,0,0,0,0,0,1
8,63,1,5,20,6,43,1,7,0,0,0,0,0,1
5,39,1,9,24,3,15,0,0,0,0,0,0,0,1
2,11,1,4,11,0,0,0,0,0,0,0,0,0,0
8,59,1,4,11,6,48,1,10,0,0,0,0,0,1
6,50,2,6,16,3,34,0,0,0,0,0,0,0,1
4,31,1,5,11,2,20,0,8,0,0,0,0,0,1
8,49,3,7,26,4,23,0,0,0,0,0,0,0,1
6,23,4,6,22,1,1,0,0,0,0,0,0,0,1
5,30,3,10,29,1,1,0,0,0,0,0,0,0,0
19,239,0,0,6,6,60,0,0,12,173,2,0,0,1
3,16,2,5,16,0,0,0,0,0,0,0,0,0,0
6,40,1,6,15,4,25,1,12,0,0,0,0,0,1
11,65,2,12,24,7,41,0,0,0,0,0,0,0,1
3,17,2,6,17,0,0,0,0,0,0,0,0,0,0
8,43,3,6,20,4,23,1,6,0,0,0,0,0,1
10,73,1,7,19,7,54,1,14,0,0,0,0,0,1
10,78,2,7,25,7,53,5,40,0,0,0,0,0,1
11,83,1,6,20,9,63,1,9,0,0,0,0,0,1
4,16,3,5,16,0,0,0,0,0,0,0,0,0,0
6,63,3,6,23,2,40,0,32,0,0,0,0,0,1
6,17,3,2,16,1,1,0,0,0,0,0,0,0,0
2,19,1,9,19,0,0,0,0,0,0,0,0,0,0
7,48,1,4,15,5,33,1,10,0,0,0,0,0,1
9,77,2,7,22,6,55,0,0,0,0,0,0,0,1
9,61,1,5,11,2,8,0,5,5,42,2,0,0,1
5,17,3,3,16,1,1,0,0,0,0,0,0,0,0
13,72,1,4,12,6,36,1,9,4,24,1,1,0,1
6,44,2,6,16,3,28,0,0,0,0,0,0,0,1
18,144,1,11,24,7,47,1,7,9,73,1,0,0,1
3,17,2,4,17,0,0,0,0,0,0,0,0,0,0
16,99,1,8,14,9,56,1,10,4,29,1,1,0,1
9,69,1,3,13,6,50,0,0,1,6,0,0,0,1
3,17,2,4,17,0,0,0,0,0,0,0,0,0,0
17,135,1,11,24,7,47,1,7,8,64,1,0,0,1
6,35,2,6,20,3,15,1,9,0,0,0,0,0,1
7,44,3,7,28,3,16,1,9,0,0,0,0,0,1
4,23,2,5,22,1,1,0,0,0,0,0,0,0,1
13,199,2,3,12,4,30,1,9,6,157,3,0,0,1
3,13,2,5,13,0,0,0,0,0,0,0,0,0,0
9,109,3,4,18,5,91,1,9,0,0,0,0,0,1
2,11,1,4,11,0,0,0,0,0,0,0,0,0,0
15,97,2,7,20,7,50,1,6,4,27,1,1,0,1
4,21,2,6,20,1,1,0,0,0,0,0,0,0,0
